                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4414,                 1.0925,                 1.1632,                0.39162,                0.43396,                0.32783,                0.14609,                 2.0482,                 1.8408,                 1.3971,             0.00044438,             0.00044438,             0.00044438
                     35,                 1.3844,                 1.1357,                 1.1119,                0.32097,                0.50943,                0.29067,                0.12705,                 2.0744,                 2.1367,                 1.4349,             0.00045111,             0.00045111,             0.00045111
                     36,                 1.4118,                 1.1437,                 1.1863,                0.32097,                0.50943,                0.29067,                0.12705,                 2.0744,                 2.1367,                 1.4349,             0.00045745,             0.00045745,             0.00045745
                     37,                 1.4252,                0.97265,                 1.1337,                0.38574,                0.31132,                0.22642,                0.10049,                 2.0502,                 2.7151,                  1.447,             0.00046339,             0.00046339,             0.00046339
                     38,                 1.3044,                 1.0571,                 1.1155,                0.38574,                0.31132,                0.22642,                0.10049,                 2.0502,                 2.7151,                  1.447,             0.00046894,             0.00046894,             0.00046894
                     39,                 1.3636,                 1.0502,                 1.1806,                0.27442,                0.29245,                 0.1488,                0.06842,                 2.1522,                 2.7647,                 1.5018,             0.00047409,             0.00047409,             0.00047409
                     40,                 1.2073,                0.90905,                 1.0306,                0.27442,                0.29245,                 0.1488,                0.06842,                 2.1522,                 2.7647,                 1.5018,             0.00047884,             0.00047884,             0.00047884
                     41,                 1.3029,                 1.0976,                 1.2365,                0.20069,                0.25472,                0.08352,                0.03868,                 2.1355,                  3.942,                 1.4765,              0.0004832,              0.0004832,              0.0004832
                     42,                 1.2145,                0.91252,                 1.0782,                0.20069,                0.25472,                0.08352,                0.03868,                 2.1355,                  3.942,                 1.4765,             0.00048716,             0.00048716,             0.00048716
                     43,                 1.4537,                0.84318,                  1.069,                0.16702,                0.17925,                0.05175,                0.02334,                 2.0764,                 6.0933,                 1.4414,             0.00049073,             0.00049073,             0.00049073
                     44,                 1.3581,                0.88857,                 1.0535,                0.16702,                0.17925,                0.05175,                0.02334,                 2.0764,                 6.0933,                 1.4414,              0.0004939,              0.0004939,              0.0004939
                     45,                 1.4043,                 1.0228,                 1.1013,                0.20331,                0.10377,                0.09114,                0.04176,                 2.0583,                 3.5103,                 1.4547,             0.00049667,             0.00049667,             0.00049667
                     46,                  1.384,                0.85711,                 1.1057,                0.20331,                0.10377,                0.09114,                0.04176,                 2.0583,                 3.5103,                 1.4547,             0.00049905,             0.00049905,             0.00049905
                     47,                 1.1403,                0.86077,                 1.0907,                0.26197,                0.21698,                 0.1604,                0.07274,                 1.9911,                 3.1481,                  1.432,             0.00050103,             0.00050103,             0.00050103
                     48,                 1.1879,                0.84087,                 1.0901,                0.26197,                0.21698,                 0.1604,                0.07274,                 1.9911,                 3.1481,                  1.432,             0.00050262,             0.00050262,             0.00050262
                     49,                 1.2832,                0.95079,                 1.0935,                0.14621,                0.21698,                0.08684,                0.04349,                 1.9814,                 3.4261,                 1.4231,             0.00050381,             0.00050381,             0.00050381
                     50,                 1.1144,                0.75643,                  1.027,                0.14621,                0.21698,                0.08684,                0.04349,                 1.9814,                 3.4261,                 1.4231,              0.0005046,              0.0005046,              0.0005046
                     51,                 1.2156,                 0.8115,                 1.0246,                0.07563,                0.25472,                0.05362,                0.02804,                 1.9547,                 5.2031,                 1.4006,               0.000505,               0.000505,               0.000505
                     52,                 1.1376,                0.78721,                 1.0388,                0.07563,                0.25472,                0.05362,                0.02804,                 1.9547,                 5.2031,                 1.4006,               0.000505,               0.000505,               0.000505
                     53,                 1.3018,                0.90728,                 1.1117,                0.07563,                0.25472,                0.05362,                0.02804,                 1.9547,                 5.2031,                 1.4006,             0.00050461,             0.00050461,             0.00050461
                     54,                 1.2217,                0.92245,                 1.1049,                0.05577,                0.27358,                0.03768,                0.01876,                 1.9638,                 6.5516,                 1.3964,             0.00050382,             0.00050382,             0.00050382
                     55,                 1.2662,                0.91991,                 1.1474,                0.05577,                0.27358,                0.03768,                0.01876,                 1.9638,                 6.5516,                 1.3964,             0.00050263,             0.00050263,             0.00050263
                     56,                  1.019,                0.79603,                0.96541,                0.05577,                0.27358,                0.03768,                0.01876,                 1.9638,                 6.5516,                 1.3964,             0.00050105,             0.00050105,             0.00050105
